ID Caso,Año,Municipio,Departamento,Región,Modalidad,Presunto Responsable,Descripción Presunto Responsable,Abandono o Despojo Forzado de Tierras,Amenaza o Intimidación,Ataque Contra Misión Médica,Confinamiento o Restricción a la Movilidad,Desplazamiento Forzado,Extorsión,Lesionados Civiles,Pillaje,Tortura,Violencia Basada en Género,Otro Hecho Simultáneo,Total de Víctimas del Caso,Tipo de Armas,latitud-longitud
288643,1982,PUERTO NARE,ANTIOQUIA,MAGDALENA MEDIO,INCURSIÓN,AGENTE DEL ESTADO,FUERZAS PUBLICAS,0,0,0,0,0,0,0,1,1,,OCULTAMIENTO DE CADÁVER,7,ARMA DE FUEGO,POINT (-74.5830120144 6.186024828)
288644,1982,JAMBALO,CAUCA,NORTE DEL CAUCA,DESCONOCIDA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,,,5,ARMA DE FUEGO,POINT (-76.3238781841 2.7778373466)
288645,1982,BOLIVAR,SANTANDER,MAGDALENA MEDIO,ATAQUE INDISCRIMINADO,AGENTE DEL ESTADO,FUERZAS PUBLICAS,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO - ARTEFACTO EXPLOSIVO,POINT (-73.7713464124 5.9889526163)
288646,1982,TURBO,ANTIOQUIA,URABA,DESCONOCIDA,GUERRILLA,EPL,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-76.6585376838 8.066060266)
288647,1982,SAN JUAN DE URABA,ANTIOQUIA,URABA,DESCONOCIDA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,,,4,,POINT (-76.5287943448 8.759341801)
288648,1982,JAMBALO,CAUCA,NORTE DEL CAUCA,RETENCIÓN/EJECUCIÓN,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,,,5,,POINT (-76.3238781841 2.7778373466)
288649,1983,SANTA HELENA DEL OPON,SANTANDER,MAGDALENA MEDIO,ASALTO,AGENTE DEL ESTADO,FUERZAS PUBLICAS,0,0,0,0,0,0,0,0,0,,,5,ARMA DE FUEGO,POINT (-73.6167932693 6.3396453498)
288655,1983,CALAMAR,GUAVIARE,ARIARI GUAYABERO,FALSO POSITIVO,AGENTE DEL ESTADO,FUERZAS PUBLICAS,0,0,0,0,0,0,0,0,1,,,7,ARMA DE FUEGO,POINT (-72.655171997 1.9601086332)
288656,1983,CALOTO,CAUCA,NORTE DEL CAUCA,INCURSIÓN,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-76.4084870416 3.0340707783)
288659,1983,OTANCHE,BOYACA,ALTIPLANO CUNDIBOYACENSE,DESCONOCIDA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-74.1809647364 5.6575357131)
288662,1983,CIMITARRA,SANTANDER,MAGDALENA MEDIO,DESCONOCIDA,GRUPO PARAMILITAR,MUERTE A SECUESTRADORES (MAS),0,0,0,0,0,0,0,0,0,,,5,,POINT (-73.9525821232 6.3206818675)
288664,1983,CIMITARRA,SANTANDER,MAGDALENA MEDIO,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,MUERTE A SECUESTRADORES (MAS),0,0,0,0,0,0,0,0,0,,,4,,POINT (-74.396297471 6.4825778357)
288665,1983,CIMITARRA,SANTANDER,MAGDALENA MEDIO,ASALTO,GRUPO PARAMILITAR,MUERTE A SECUESTRADORES (MAS),0,0,0,0,0,0,0,0,0,,,9,ARMA DE FUEGO,POINT (-74.2336838293 6.4730803474)
288667,1983,CIMITARRA,SANTANDER,MAGDALENA MEDIO,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,MUERTE A SECUESTRADORES (MAS),0,0,0,0,0,0,0,0,0,,,5,,POINT (-73.9525821232 6.3206818675)
288668,1983,PUERTO TRIUNFO,ANTIOQUIA,MAGDALENA MEDIO,DESCONOCIDA,AGENTE DEL ESTADO,FUERZAS PUBLICAS,0,0,0,0,0,0,0,0,0,,,5,ARMA DE FUEGO,POINT (-74.6412629307 5.8712129585)
288674,1983,CIMITARRA,SANTANDER,MAGDALENA MEDIO,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,MUERTE A SECUESTRADORES (MAS),0,0,0,0,0,0,0,0,0,,,5,,POINT (-73.9525821232 6.3206818675)
288677,1983,PUERTO BERRIO,ANTIOQUIA,MAGDALENA MEDIO,DESCONOCIDA,GRUPO PARAMILITAR,MUERTE A SECUESTRADORES (MAS),0,0,0,0,0,0,0,0,0,,,5,ARMA DE FUEGO,POINT (-74.4099455275 6.4870411404)
288680,1983,PUERTO BERRIO,ANTIOQUIA,MAGDALENA MEDIO,DESCONOCIDA,GRUPO PARAMILITAR,MUERTE A SECUESTRADORES (MAS),0,0,0,0,0,0,0,0,0,,,12,,POINT (-74.4099455275 6.4870411404)
288691,1983,PUERTO TRIUNFO,ANTIOQUIA,MAGDALENA MEDIO,DESCONOCIDA,AGENTE DEL ESTADO,FUERZAS PUBLICAS,0,0,0,0,0,0,0,0,0,,,4,,POINT (-74.6412629307 5.8712129585)
288692,1983,PUERTO BOYACA,BOYACA,MAGDALENA MEDIO,REUNIÓN PÚBLICA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,,,6,ARMA DE FUEGO,POINT (-74.3399896478 5.8363790752)
288694,1983,SILVIA,CAUCA,NORTE DEL CAUCA,ASALTO,GUERRILLA,FARC,0,0,0,0,0,0,0,1,0,,,4,,POINT (-76.3247073968 2.7136281654)
288696,1984,RIONEGRO,SANTANDER,MAGDALENA MEDIO,FALSO POSITIVO,AGENTE DEL ESTADO,FUERZAS PUBLICAS,0,0,0,0,0,0,0,0,0,,,4,,POINT (-73.1970225257 7.2384628906)
288697,1984,PUERTO NARE,ANTIOQUIA,MAGDALENA MEDIO,ASALTO,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,,,4,OBJETO CONTUNDENTE,POINT (-74.5716887665 6.2194810893)
288703,1984,CIMITARRA,SANTANDER,MAGDALENA MEDIO,DESCONOCIDA,GRUPO PARAMILITAR,MUERTE A SECUESTRADORES (MAS),0,0,0,0,0,0,0,0,0,,,4,ARMA CORTO PUNZANTE,POINT (-73.9525821232 6.3206818675)
288704,1984,BURITICA,ANTIOQUIA,OCCIDENTE ANTIOQUEÑO,RETÉN,AGENTE DEL ESTADO,FUERZAS PUBLICAS,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-75.9075347298 6.7197351746)
288705,1984,CIMITARRA,SANTANDER,MAGDALENA MEDIO,RUTA,GUERRILLA,FARC,0,1,0,0,0,0,0,0,1,,,11,ARMA CORTO PUNZANTE - ARMA DE FUEGO,POINT (-73.9525821232 6.3206818675)
288707,1984,FLORIDA,VALLE DEL CAUCA,SUR DEL VALLE,INCURSIÓN,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,,,4,,POINT (-76.1517816007 3.3474296249)
288710,1984,SAHAGUN,CORDOBA,NORTE DE CORDOBA,ASALTO,GUERRILLA,EPL,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-75.3987122206 8.6312208965)
288713,1984,CORINTO,CAUCA,NORTE DEL CAUCA,FALSO POSITIVO,AGENTE DEL ESTADO,FUERZAS PUBLICAS,0,0,0,0,0,0,0,0,0,,,5,ARTEFACTO EXPLOSIVO,POINT (-76.2613141858 3.1738154571)
288716,1984,VALDIVIA,ANTIOQUIA,NORTE DE ANTIOQUIA,DESCONOCIDA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,,,4,,POINT (-75.4391984392 7.1653399998)
288719,1984,PUERTO TRIUNFO,ANTIOQUIA,MAGDALENA MEDIO,INCURSIÓN,GUERRILLA,FARC,0,1,0,0,0,0,1,0,0,,,4,ARMA DE FUEGO,POINT (-74.773136787 5.9285988871)
288722,1984,PUERTO BERRIO,ANTIOQUIA,MAGDALENA MEDIO,INTERCEPTACIÓN,GRUPO PARAMILITAR,MUERTE A SECUESTRADORES (MAS),0,0,0,0,0,1,0,0,0,,,5,ARMA DE FUEGO,POINT (-74.4099455275 6.4870411404)
288723,1984,SAN VICENTE DE CHUCURI,SANTANDER,MAGDALENA MEDIO,ASALTO,GRUPO PARAMILITAR,MUERTE A SECUESTRADORES (MAS),0,1,0,0,1,0,0,0,0,,,9,ARMA DE FUEGO,POINT (-73.4110239344 6.8803829351)
288725,1984,PAEZ,CAUCA,NORTE DEL CAUCA,DESCONOCIDA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,,,4,,POINT (-75.9719645112 2.6413667676)
288726,1984,PITALITO,HUILA,SUR DEL HUILA,ASALTO,GUERRILLA,ELN,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-76.1747753535 1.7769270108)
