ID Caso,Año,Municipio,Departamento,Región,Modalidad,Presunto Responsable,Descripción Presunto Responsable,Abandono o Despojo Forzado de Tierras,Amenaza o Intimidación,Ataque Contra Misión Médica,Confinamiento o Restricción a la Movilidad,Desplazamiento Forzado,Extorsión,Lesionados Civiles,Pillaje,Tortura,Violencia Basada en Género,Otro Hecho Simultáneo,Total de Víctimas del Caso,Tipo de Armas,latitud-longitud
292000,2003,DIBULLA,LA GUAJIRA,SIERRA NEVADA DE SANTA MARTA,DESCONOCIDA,DESCONOCIDO,,0,0,0,0,0,0,0,0,1,,,5,ARMA DE FUEGO - OBJETO CONTUNDENTE,POINT (-73.5588664749 11.2441460791)
292001,2003,PUERTO LLERAS,META,ARIARI GUAYABERO,ASALTO,GRUPO PARAMILITAR,,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-73.4033076865 3.1646582291)
292003,2003,PENOL,ANTIOQUIA,ORIENTE ANTIOQUEÑO,DESCONOCIDA,AGENTE DEL ESTADO,,0,0,0,0,0,0,0,0,0,,,5,,POINT (-75.2428217137 6.2194505492)
292005,2003,EL BANCO,MAGDALENA,SUR DE MAGDALENA,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,,0,0,0,0,0,0,0,0,0,,,6,,POINT (-73.9742812074 9.0087330089)
292009,2003,EL CASTILLO,META,ARIARI GUAYABERO,DESCONOCIDA,AGENTE DEL ESTADO,,0,0,0,0,0,0,0,0,0,,,5,,POINT (-73.7940127553 3.5638340194)
292010,2003,EL CASTILLO,META,ARIARI GUAYABERO,INTERCEPTACIÓN,GRUPO PARAMILITAR,,0,0,0,0,0,0,0,0,0,,,9,,POINT (-73.7940127553 3.5638340194)
292011,2003,MANIZALES,CALDAS,EJE CAFETERO,DESCONOCIDA,GRUPO PARAMILITAR,,0,0,0,0,0,0,0,0,0,,,9,,POINT (-75.4910489848 5.057688197)
292014,2003,FLORENCIA,CAQUETA,FLORENCIA Y AREA DE INFLUENCIA,DESCONOCIDA,GRUPO ARMADO NO IDENTIFICADO,,0,0,0,0,0,0,0,0,0,,,9,,POINT (-75.6085604324 1.6179229304)
292015,2003,CARACOLI,ANTIOQUIA,MAGDALENA MEDIO ANTIOQUEÑO,ASALTO,GRUPO PARAMILITAR,,0,0,0,0,1,1,0,0,0,,,7,ARMA DE FUEGO - OBJETO CONTUNDENTE,POINT (-74.7574494413 6.4098547268)
292017,2003,CUCUTA,NORTE DE SANTANDER,AREA METROPOLITANA DE CUCUTA,DESCONOCIDA,GRUPO PARAMILITAR,,0,0,0,0,0,0,0,0,0,,,5,,POINT (-72.5082561962 7.9053062946)
