ID Caso,ID Caso Relacionado,Año,Mes,Día,Código DANE de Municipio,Municipio,Departamento,Región,Modalidad,Presunto Responsable,Descripción Presunto Responsable,Abandono o Despojo Forzado de Tierras,Amenaza o Intimidación,Ataque Contra Misión Médica,Confinamiento o Restricción a la Movilidad,Desplazamiento Forzado,Extorsión,Lesionados Civiles,Pillaje,Tortura,Violencia Basada en Género,Otro Hecho Simultáneo,Total de Víctimas del Caso,Tipo de Armas,latitud-longitud
521991,,1970,3,18,23001,MONTERIA,CORDOBA,ALTO SINU Y SAN JORGE,INTERCEPTACIÓN,GUERRILLA,ELN,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-75.8755779091 8.7451325909)
522152,,2001,5,19,13688,SANTA ROSA DEL SUR,BOLIVAR,MAGDALENA MEDIO,RUTA,GRUPO PARAMILITAR,NO IDENTIFICADO,0,1,0,0,0,0,0,0,0,,,4,ARMA CORTO PUNZANTE,POINT (-74.1880744878 7.7947449517)
522185,CR018339,1998,9,24,5234,DABEIBA,ANTIOQUIA,OCCIDENTE ANTIOQUEÑO,RETENCIÓN/EJECUCIÓN,GUERRILLA,FARC,0,1,0,1,1,1,11,1,2,,VARIOS RECLUSOS LIBERADOS,6,ARMA DE FUEGO - ARTEFACTO EXPLOSIVO,POINT (-76.2629766474 7.0003219398)
522190,,1997,7,26,18460,MILAN,CAQUETA,FLORENCIA Y AREA DE INFLUENCIA,RETENCIÓN/EJECUCIÓN,GUERRILLA,FARC,0,0,0,0,0,0,0,0,7,,,7,ARMA DE FUEGO,POINT (-75.506962028 1.2904272018)
532348,,1963,6,12,73411,LIBANO,TOLIMA,NORTE DEL TOLIMA,ASALTO,BANDOLERISMO,NO IDENTIFICADO,0,0,0,0,0,0,1,0,0,,,4,ND,POINT (-75.063420931 4.9234423744)
532360,,1975,9,30,68689,SAN VICENTE DE CHUCURI,SANTANDER,MAGDALENA MEDIO,DESCONOCIDA,GUERRILLA,ELN,0,0,0,0,0,0,0,0,0,,,4,ND,POINT (-73.4110239344 6.8803829351)
532428,,1976,7,0,68190,CIMITARRA,SANTANDER,MAGDALENA MEDIO,DESCONOCIDA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,,,5,ND,POINT (-73.9525821232 6.3206818675)
532463,,1975,7,28,15507,OTANCHE,BOYACA,ALTIPLANO CUNDIBOYACENSE,INTERCEPTACIÓN,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,,,11,ARMA DE FUEGO,POINT (-74.1809647364 5.6575357131)
532658,CR2017532658,2018,10,29,19418,LOPEZ DE MICAY,CAUCA,ANDEN PACIFICO SUR,DESCONOCIDA,GRUPO ARMADO NO IDENTIFICADO,PRESENCIA GAO SIN ATRIBUCIÓN,0,1,0,0,1,0,2,0,0,,,5,ARMA DE FUEGO,POINT (-77.2534409547 2.8203348441)
532710,,2018,7,30,54250,EL TARRA,NORTE DE SANTANDER,CATATUMBO,ASALTO,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,0,0,0,0,0,0,1,0,0,,,9,ARMA DE FUEGO,POINT (-73.0948459237 8.576771365)
53273,,1996,5,27,5045,APARTADO,ANTIOQUIA,URABA,RUTA,GRUPO PARAMILITAR,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-76.6259606537 7.8834174058)
532802,,2019,3,4,19455,MIRANDA,CAUCA,NORTE DEL CAUCA,SICARIATO,GUERRILLA,DISIDENCIA FARC,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-76.2288698651 3.2530954052)
532810,,2019,1,11,76364,JAMUNDI,VALLE DEL CAUCA,SUR DEL VALLE,DESCONOCIDA,GUERRILLA,DISIDENCIA EPL,0,0,0,0,0,0,0,0,0,,,4,ND,POINT (-76.6734075682 3.1858829875)
532945,,2018,7,2,19256,EL TAMBO,CAUCA,NORTE DEL CAUCA,RETENCIÓN/EJECUCIÓN,GRUPO ARMADO NO IDENTIFICADO,PRESENCIA GAO SIN ATRIBUCIÓN,0,0,0,0,0,0,0,0,7,,,7,ARMA DE FUEGO,POINT (-76.8107722487 2.4513713597)
533330,,2019,2,15,20011,AGUACHICA,CESAR,MAGDALENA MEDIO,SICARIATO,GUERRILLA,ELN,0,1,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-73.599028585 8.3103369584)
533391,,1961,12,27,66075,BALBOA,RISARALDA,EJE CAFETERO,ASALTO,BANDOLERISMO,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,,,5,ARMA CORTO PUNZANTE - ARMA DE FUEGO,POINT (-75.960221681 4.9457691953)
533394,,1963,6,12,17042,ANSERMA,CALDAS,EJE CAFETERO,DESCONOCIDA,BANDOLERISMO,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,,,7,ND,POINT (-75.7843426615 5.2364743911)
533396,,1963,7,25,73443,SAN SEBASTIAN DE MARIQUITA,TOLIMA,NORTE DEL TOLIMA,ASALTO,BANDOLERISMO,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,,,5,ARMA CORTO PUNZANTE,POINT (-74.8892948197 5.1996911832)
533483,,1961,12,9,73043,ANZOATEGUI,TOLIMA,NORTE DEL TOLIMA,ASALTO,BANDOLERISMO,NO IDENTIFICADO,0,0,0,0,0,0,4,0,0,,,8,ND,POINT (-75.096450741 4.6274736184)
533490,,1963,7,8,73408,LERIDA,TOLIMA,NORTE DEL TOLIMA,DESCONOCIDA,DESCONOCIDO,NO APLICA,0,0,0,0,0,0,0,0,0,,DESAPARICIÓN FORZADA,6,ND,POINT (-74.910634355 4.8620253462)
533500,,1963,6,22,73043,ANZOATEGUI,TOLIMA,NORTE DEL TOLIMA,ASALTO,BANDOLERISMO,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,,,8,ARMA CORTO PUNZANTE - ARMA DE FUEGO,POINT (-75.096450741 4.6274736184)
533506,,1963,9,22,68861,VELEZ,SANTANDER,PROVINCIA DE VELEZ,RETENCIÓN/EJECUCIÓN,DESCONOCIDO,NO APLICA,0,0,0,0,0,0,0,0,0,,DAÑO A BIEN CIVIL - INCINERACIÓN DE VIVIENDA,5,ARMA CORTO PUNZANTE - ARMA DE FUEGO,POINT (-73.6662990692 6.0109534491)
533511,,1963,12,1,66594,QUINCHIA,RISARALDA,EJE CAFETERO,RETENCIÓN/EJECUCIÓN,BANDOLERISMO,NO IDENTIFICADO,0,0,0,0,0,0,0,0,4,,,5,ARMA CORTO PUNZANTE - ARMA DE FUEGO,POINT (-75.7304125955 5.3404456801)
533515,,1968,2,0,20710,SAN ALBERTO,CESAR,MAGDALENA MEDIO,DESCONOCIDA,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,0,0,0,0,0,0,0,0,0,,,16,ND,POINT (-73.394225336 7.76082642)
533533,,1970,2,21,73616,RIOBLANCO,TOLIMA,SUR DEL TOLIMA,ASALTO,BANDOLERISMO,NO IDENTIFICADO,0,1,0,0,0,1,0,0,0,,,7,ARMA CORTO PUNZANTE - ARMA DE FUEGO,POINT (-75.6443876655 3.5298632299)
533580,,1991,2,28,86320,ORITO,PUTUMAYO,BAJO PUTUMAYO,RETENCIÓN/EJECUCIÓN,GUERRILLA,FARC,0,0,0,0,0,0,0,0,2,,,4,ND,POINT (-76.8730276879 0.6638168985)
